method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor,range_aa,c_hops,fd_timeout
baseline,12.0,4,63.20000000000063,17,1.5,3.3999999999998636,0.8000000000001251,1.3603363638078463,False,True,1.4221698348900211,0.1814253910046788,23.0,1.9420667420287685,0.3499999999978982,1.937776789526976,22.0,0.5534277569340693,1.9090909090909092,0.554652964503513,22.0,11.09305929007026,1.9090909090909092,1,False,2,-1.0,False,False,1.0172730553484024,True,False,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,66.60000000000049,5,1.5,2.800000000000111,3.3999999999998636,1.3223418375395726,False,True,1.3853104964700285,0.1368997569931201,22.0,1.783718188525972,0.2999999999978513,1.783718188525972,21.0,0.5336872340140655,1.9047619047619047,0.5336872340140655,21.0,10.67374468028131,1.9047619047619047,0,False,2,-1.0,False,True,0.9364520489761354,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,71.00000000000024,13,0.6,0.20000000000038654,1.599999999999639,1.0990447783918202,True,False,1.151380244029526,0.109669095763438,22.0,1.6797026600007887,0.5499999999978371,,,,,0.4797219578976102,22.0,9.594439157952204,1.9090909090909092,1,True,1,0.0,True,False,0.8798442504766035,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,74.70000000000003,21,1.5,1.9999999999998863,0.09999999999953957,1.1644366093493583,False,True,1.2173655461379655,0.1624401088964146,23.0,2.0104084730121987,0.2999999999978513,2.0104084730121987,22.0,0.5741713172299816,1.9090909090909092,0.5741713172299816,22.0,11.483426344599632,1.9090909090909092,1,False,2,-1.0,False,False,1.0530711049111516,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,76.69999999999992,12,1.5,2.300000000000324,1.9999999999998863,1.2897105413515053,False,True,1.3511253290349103,0.1418241143983737,22.0,2.006058098415133,0.24999999999785416,2.006058098415133,21.0,0.6002111794909801,1.9047619047619047,0.6002111794909801,21.0,12.004223589819603,1.9047619047619047,0,False,2,-1.0,False,True,1.0531805016679447,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,79.9,14,1.5,2.8000000000000256,0.8999999999997641,1.3297889203809026,False,True,1.3931122023038025,0.1901966250182738,22.0,1.616567336591994,0.6999999999975586,1.5710714862716946,21.0,0.4700634894795765,1.9047619047619047,0.4836758160638692,21.0,9.673516321277384,1.9047619047619047,1,False,2,-1.0,False,False,0.8486978517107968,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,91.89999999999894,11,1.5,8.0,3.999999999998934,1.0259145297319068,False,True,1.0705195092854678,0.0677610291019015,24.0,1.7291931666889324,0.34999999999796216,1.7289514397047436,23.0,0.4723183601208625,1.9130434782608696,0.4723843955745757,23.0,9.447687911491514,1.9130434782608696,0,False,2,-1.0,False,True,0.9038964280419419,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,106.29999999999824,24,0.6,0.29999999999998295,6.399999999999295,1.0129222319043683,True,False,1.0569623289436887,0.0430854873422236,24.0,1.9763023971380065,0.2999999999978513,1.9763023971380065,23.0,0.5398901819235356,1.9130434782608696,0.5398901819235356,23.0,10.797803638470711,1.9130434782608696,1,False,3,-1.0,True,False,1.0330671621403216,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,106.59999999999822,18,1.5,7.700000000000017,0.29999999999998295,1.890376205958093,False,True,1.9763023971380065,0.2119847934605162,23.0,1.974554049164111,0.04999999999786553,1.8564939195138397,22.0,0.5302134235435272,1.9090909090909092,0.5394125647799957,23.0,10.788251295599913,1.9130434782608696,1,False,2,0.0,True,False,1.0321532529721489,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,116.59999999999764,16,1.199999999999946,1.199999999999946,1.9999999999994174,1.1313891482098823,False,False,1.1805799807407469,0.0895534589916224,24.0,1.7890275911492035,0.29999999999786553,1.7890275911492035,23.0,0.4887300815151114,1.9130434782608696,0.4887300815151114,23.0,9.774601630302227,1.9130434782608696,0,False,2,-1.0,False,True,0.9351735135552655,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,117.79999999999758,4,1.5,6.599999999999625,1.199999999999946,1.5039318275072833,False,True,1.5722923651212506,0.1311602669242725,23.0,1.9829282612921773,0.29999999999786553,1.9829282612921773,22.0,0.5663229871155533,1.9090909090909092,0.5663229871155533,22.0,11.326459742311066,1.9090909090909092,0,False,2,-1.0,False,True,1.0386767082959023,False,True,False,10.4,1.9919373696405014,0.25
