method,rate_total,seed,gmax_avg,gmax_p90,gmax_p99,gmax_max,egap_avg,n_samples,frac_gt_1.25,frac_gt_1.5,frac_gt_1.75,frac_gt_2
B2,24.0,3,1.4607046074853176,1.903554873554368,2.3260393579257865,2.836705110692661,0.17399251538857496,2700,0.6077777777777778,0.41074074074074074,0.2325925925925926,0.0437037037037037
B2,24.0,4,1.44375770242701,1.9189031586454708,2.188867148727249,2.513845866556727,0.16994928855740105,2700,0.6003703703703703,0.38925925925925925,0.23333333333333334,0.052592592592592594
B2,24.0,5,1.3656126061808465,1.8997341969233752,2.3074149251043843,2.632019062743173,0.1369676745544613,2700,0.4451851851851852,0.2948148148148148,0.19148148148148147,0.05555555555555555
B2,24.0,6,1.402027717797531,1.8840577590188405,2.104180919908511,2.3132886194715225,0.15342841613644054,2700,0.5277777777777778,0.3585185185185185,0.2137037037037037,0.02148148148148148
B2,24.0,7,1.4642456838246056,1.9409912420974698,2.4815514387467688,2.790125929281036,0.17376074848195452,2700,0.5766666666666667,0.4074074074074074,0.26925925925925925,0.06925925925925926
B2,48.0,0,1.5797850640877475,2.0002319511489834,2.457069038030426,2.7388075403735512,0.22600824161286773,2700,0.8025925925925926,0.542962962962963,0.3088888888888889,0.10037037037037037
B2,48.0,1,1.7429698529109994,2.153497932902206,2.8737017326198355,3.3375136757734483,0.2803333855311189,2700,0.9292592592592592,0.7281481481481481,0.46925925925925926,0.19555555555555557
B2,48.0,2,1.6440716134748459,2.1022155762340335,2.5429420229953426,3.032389568973304,0.24756833715745322,2700,0.8351851851851851,0.6340740740740741,0.38,0.1451851851851852
B2,48.0,3,1.7269978061351619,2.2506025509380003,2.9752872750455315,3.1746333150660604,0.27659866082417406,2700,0.8970370370370371,0.6681481481481482,0.4537037037037037,0.2048148148148148
B2,48.0,4,1.659373736164691,2.054690368667566,2.472078788778512,3.3241185752967466,0.25891004982834426,2700,0.912962962962963,0.6466666666666666,0.4040740740740741,0.14666666666666667
B2,48.0,5,1.5764040085479805,2.0608404138255514,2.5332801181415303,2.8306409876903222,0.21770680793782757,2700,0.7570370370370371,0.5262962962962963,0.3322222222222222,0.1274074074074074
B2,48.0,6,1.6385123728515512,2.064966917111173,2.7839123069484986,3.235418316167589,0.23434733094670676,2700,0.7944444444444444,0.6077777777777778,0.3877777777777778,0.13518518518518519
