rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,gap_prev_b,gap_rad_base,gap_rad_b2,alive_pre_base,w_clip_floor,w_full,d_pico,d_gmax_pre,d_egap_pre,d_arco_m,pico_base,pico_b2,pre_base,pre_b2,pre_bar,arco_base,arco_b2,isolated,m_unstable,peak_late,floor_base,floor_b2,rel_base,rel_b2,both_above,any_at_floor,log_ok,dl_pico,dl_pre,dl_egap_pre,l_pre_bar,dl_rel
48.0,1,119.9999999999978,8,1.199999999999278,1.199999999999278,1.7999999999988319,1.7999999999988319,0.6276558380900505,0.7211106795242639,21.0,False,False,-0.2974759994024867,-0.1087971454116381,-0.032600818839390006,-1.8690968286842669,1.9978905838503571,2.295366583252844,1.344990976385002,1.4537881217966402,1.399389549090821,12.55311676180101,14.422213590485278,True,False,False,1.9,1.9,1.0515213599212407,1.2080876753962337,True,False,True,-0.1388006461325202,-0.07778534355898953,-0.24011698719080155,0.3360361051660152,-0.13880064613252024
48.0,1,121.19999999999708,19,0.6,0.4000000000010999,1.199999999999278,1.199999999999278,0.5929880569082293,0.6263621394154573,20.0,True,False,-0.10623300404364167,0.06877666803799887,0.014943266282514606,-0.6674816501445591,1.8875396090280567,1.9937726130716984,1.901680187977032,1.832903519939033,1.8672918539580325,11.859761138164586,12.527242788309145,False,True,False,1.9,1.9,0.993441899488451,1.0493540068798413,False,True,True,-0.05475444262984386,0.03683647244825272,0.06947101471934558,0.6244891747624517,-0.05475444262984388
48.0,1,122.499999999998,7,1.5,1.6999999999996476,0.8999999999998209,0.8999999999998209,0.6107211439203777,0.6411510141786936,20.0,False,True,-0.09201822111586488,-0.20420296211137323,-0.012285641042449391,-0.6085974051663179,1.8467864892076336,1.9388047103234984,1.637899198762152,1.8421021608735253,1.7400006798178387,12.214422878407554,12.823020283573872,False,False,False,1.894736842105263,1.894736842105263,0.9746928693040289,1.0232580415596242,False,False,True,-0.048624558652126226,-0.11749295390430908,-0.04988093187826004,0.5538855039262687,-0.048624558652126226
48.0,1,124.19999999999764,11,0.6,0.49999999999955946,1.6999999999996476,1.6999999999996476,0.8472048259461662,0.609221178533204,19.0,True,False,0.6817729294946102,-0.052010282126086604,0.03196548120927381,4.759672948259244,2.427063045491541,1.745290115996931,1.5859476015976195,1.637957883723706,1.6119527426606628,16.944096518923324,12.18442357066408,False,False,False,1.8888888888888888,1.8888888888888888,1.28491572996611,0.9239771202336694,False,False,True,0.32976110570272466,-0.03226818850577129,0.15880527422788138,0.47744632768738443,0.3297611057027246
48.0,1,124.6999999999972,16,0.6,0.10000000000047748,0.49999999999955946,0.49999999999955946,0.8293440226172315,0.6047903448433622,18.0,True,False,0.6432989005291678,0.6499906621528158,0.14671437073280272,4.491073555477385,2.375895613018483,1.7325967124893151,2.3868345649806697,1.736843902827854,2.0618392339042617,16.58688045234463,12.095806896867245,False,True,False,1.8888888888888888,1.8888888888888888,1.2578270892450794,0.9172570830825786,False,False,True,0.31575319359193743,0.3178984210247,0.5023683124064928,0.7235984164564477,0.3157531935919376
48.0,1,124.79999999999768,25,1.3000000000006793,1.3000000000006793,0.10000000000047748,0.10000000000047748,0.8206636559799048,0.6781432124523299,18.0,False,False,0.6241506841951423,0.6365295923385692,0.1471269646287139,2.8504088705514974,2.351028194371233,1.7268775101760905,2.36394780001658,1.727418207678011,2.0456830038472953,16.413273119598095,13.562864249046598,False,True,False,1.8888888888888888,1.875,1.2446619852553586,0.9210013387605815,False,False,True,0.30853789169857215,0.31370508976970013,0.5140787237259532,0.715731720944843,0.30115778440094976
48.0,1,127.69999999999784,21,0.6,0.09999999999939746,1.4999999999988773,1.4999999999988773,0.791731489950517,0.7815672747858029,18.0,True,False,0.027500646463935574,0.10413744007847359,0.0310282596260385,0.20328430329428215,2.1421356638613127,2.114635017397377,1.2890907335197346,1.184953293441261,1.2370220134804977,15.83462979901034,15.631345495716058,False,True,False,1.8823529411764706,1.8823529411764706,1.1380095714263223,1.1233998529923566,True,False,True,0.012921076155847255,0.0842337531151256,0.17279423361430735,0.21270688911336263,0.012921076155847283
48.0,1,127.79999999999724,24,0.6,0.20000000000055707,0.09999999999939746,0.09999999999939746,0.791731489950517,0.7815672747858029,18.0,True,False,0.027500646463935574,0.1036317317044868,0.03869345402731028,0.20328430329428215,2.1421356638613127,2.114635017397377,1.2907436267961885,1.1871118950917017,1.238927760943945,15.83462979901034,15.631345495716058,False,True,False,1.8823529411764706,1.8823529411764706,1.1380095714263223,1.1233998529923566,True,False,True,0.012921076155847255,0.08369512884632338,0.22699038616494005,0.21424629662435696,0.012921076155847283
48.0,1,129.2999999999982,9,1.199999999999818,1.199999999999818,0.10000000000110276,0.10000000000110276,0.6943270667785812,0.6835934989786683,18.0,False,False,0.029041106330258915,0.07367096415971575,0.028540231621852263,0.21467135599825937,1.8785949416052312,1.8495538352749723,1.8351125420908243,1.7614415779311086,1.7982770600109665,13.886541335571625,13.671869979573366,False,False,False,1.8823529411764706,1.8823529411764706,0.9980035627277791,0.982575474989829,False,True,True,0.015579686051573005,0.04097325830718246,0.08758363782758405,0.5868290176215051,0.01557968605157312
48.0,1,131.49999999999807,23,0.6999999999995623,0.6999999999995623,1.0000000000000568,1.0000000000000568,0.8634856536734441,0.6973149670856351,18.0,False,False,0.44959706484620665,-0.30468875021441866,-0.041696513235610105,3.3234137317561796,2.3362761712081057,1.886679106361899,1.3310007773372317,1.6356895275516503,1.483345152444441,17.269713073468882,13.946299341712702,True,False,False,1.8823529411764706,1.8823529411764706,1.2411467159543061,1.002298275254759,False,True,True,0.21374008495086638,-0.2061333213979893,-0.1734650249708667,0.39429977541836786,0.21374008495086638
