egap_avg,egap_p90,egap_max,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,rate_total,off,seed
0.15342841613644054,0.2532455605702683,0.3807285176252684,0.0034090470731388705,0.0,0.36749371365883693,B2,24,1.0,24.0,8.0,6
0.20005762594794232,0.29485029158637266,0.5615769855009298,0.0019078890864420812,0.0,0.33360853123830775,baseline,24,1.0,24.0,8.0,7
0.17376074848195452,0.28282427505148655,0.4530315336105104,0.005065542022507857,0.0,0.37027895725060767,B2,24,1.0,24.0,8.0,7
0.26220202964486683,0.3768905458646711,0.5157216072741818,0.0031436756938768096,0.0,0.7186076314487158,baseline,24,1.0,48.0,8.0,0
0.22600824161286773,0.3355196256126724,0.5366743017513755,0.006520700935591793,0.0,0.6945458180866833,B2,24,1.0,48.0,8.0,0
0.3113218682850883,0.43758451868210124,0.6839498115167392,0.004326164581653955,0.0,0.45681657986389784,baseline,24,1.0,48.0,8.0,1
0.2803333855311189,0.38923739808739144,0.6901309683059107,0.010198017590607301,0.0,0.532325192543078,B2,24,1.0,48.0,8.0,1
0.281293882066121,0.4413623286725735,0.6013580047828782,0.0035355053509552254,0.0,0.788846324150028,baseline,24,1.0,48.0,8.0,2
0.24756833715745322,0.3729358111254188,0.6230963214206113,0.008596894266192798,0.0,0.48386703329035613,B2,24,1.0,48.0,8.0,2
0.30571867273791736,0.4355750330533198,0.6275173452925253,0.003938612740564116,0.0,0.4474087757113703,baseline,24,1.0,48.0,8.0,3
0.27659866082417406,0.41114817467515147,0.64209649977409,0.010421094504739374,0.0,0.47643180683947484,B2,24,1.0,48.0,8.0,3
0.2938988088962147,0.4217363259119349,0.8148059083461469,0.0046509654949898034,0.0,0.7557862254802682,baseline,24,1.0,48.0,8.0,4
0.25891004982834426,0.37209082573742314,0.650490002653913,0.008085228319749515,0.0,0.5158376884490022,B2,24,1.0,48.0,8.0,4
0.2571075791447952,0.39761639425178275,0.7061520230701486,0.002802691913173764,0.0,0.3706218584122909,baseline,24,1.0,48.0,8.0,5
0.21770680793782757,0.34438376489250244,0.4832262685371268,0.006656173482980022,0.0,0.6479412096934889,B2,24,1.0,48.0,8.0,5
0.26581348615820344,0.38024324546071825,0.577701923532917,0.0029005448584475462,0.0,0.6288967922202885,baseline,24,1.0,48.0,8.0,6
0.23434733094670676,0.3554918639442443,0.6360693788178492,0.007294779270875657,0.0,0.406257686384805,B2,24,1.0,48.0,8.0,6
0.2867073979578569,0.41402732062370295,0.589744327841214,0.0033775219993781897,0.0,0.7085528705558112,baseline,24,1.0,48.0,8.0,7
0.2423294955924288,0.3629232688608881,0.521223027665673,0.007031034161374719,0.0,0.7563013619043562,B2,24,1.0,48.0,8.0,7
