method,rate_total,seed,t_fail,node,w_e,gap_next,n_amostras,area_1.25,frac_1.25,arearad_1.25,arcom_1.25,tclose_1.25,cens_1.25,area_1.5,frac_1.5,arearad_1.5,arcom_1.5,tclose_1.5,cens_1.5
B2,24.0,3,29.700000000000152,15,1.5,3.3000000000000753,30,0.7352087613708176,1.0,0.20977549144331992,4.195509828866398,,True,0.3941312896264303,0.8666666666666667,0.11256363309456953,2.2512726618913907,,True
B2,24.0,3,33.00000000000023,21,0.6,0.5999999999998948,13,0.20314840449612337,0.6153846153846154,0.060781860490810365,1.2156372098162074,,True,0.10314840449612905,0.6153846153846154,0.030861930456623575,0.6172386091324715,,True
B2,24.0,3,33.60000000000012,25,1.100000000000101,1.100000000000101,23,0.6467869270030967,1.0,0.2014137039878453,4.0282740797569065,,True,0.35928692700311315,1.0,0.11202791301071223,2.2405582602142444,,True
B2,24.0,3,34.70000000000022,13,1.1999999999999034,1.1999999999999034,24,0.5059850023631924,1.0,0.1656440297677819,3.312880595355638,,True,0.2059850023632094,1.0,0.06746925934310649,1.3493851868621298,,True
B2,24.0,3,36.80000000000025,7,0.8999999999998991,0.8999999999998991,18,0.4279942049308417,0.7222222222222222,0.14153509999891967,2.8307019999783933,,True,0.26549420493085096,0.7222222222222222,0.08779733092436047,1.7559466184872095,,True
B2,24.0,3,41.60000000000035,17,1.0999999999998735,1.0999999999998735,22,0.6450782676248958,0.8181818181818182,0.19300696633912406,3.8601393267824813,,True,0.42007826762490863,0.8181818181818182,0.1256871237622038,2.5137424752440762,,True
B2,24.0,3,45.50000000000038,22,1.0000000000000142,1.0000000000000142,20,0.48516060859076177,0.75,0.13856154579635363,2.7712309159270725,,True,0.29766060859077254,0.75,0.085011671019258,1.70023342038516,,True
B2,24.0,3,46.50000000000039,6,1.5,1.6999999999999105,30,0.5776830427757863,1.0,0.1711467652407118,3.422935304814236,,True,0.20273207629506554,0.9666666666666667,0.05981169641950148,1.1962339283900296,1.4999999999990195,False
B2,24.0,3,48.2000000000003,7,0.6,0.49999999999992184,12,0.3941812884440796,1.0,0.12328281804312045,2.465656360862409,,True,0.2697235848601688,0.5833333333333334,0.08473616326966094,1.6947232653932187,,True
B2,24.0,3,48.70000000000022,25,0.9000000000001265,0.9000000000001265,18,0.662660642270677,1.0,0.21517991297912553,4.303598259582511,,True,0.43766064227068974,1.0,0.1418071898196313,2.8361437963926264,,True
B2,24.0,3,51.40000000000046,23,1.5,2.099999999999916,30,0.7201608431954225,1.0,0.23811607588590597,4.762321517718119,,True,0.4054371719039778,0.8333333333333334,0.13407562534165882,2.6815125068331764,,True
B2,24.0,3,64.20000000000051,22,1.0000000000000568,1.0000000000000568,20,0.44493605392536034,0.75,0.12154850768079513,2.4309701536159025,,True,0.2574360539253709,0.75,0.07032688832879053,1.4065377665758105,,True
B2,24.0,3,65.20000000000057,2,1.5,3.2999999999998124,30,0.7035393430417397,1.0,0.19945986189392506,3.9891972378785012,,True,0.3285393430417609,1.0,0.09313619748143083,1.8627239496286165,,True
B2,24.0,3,68.50000000000038,24,0.6,0.09999999999988063,12,0.23066308706703662,0.5833333333333334,0.07267629888274678,1.4535259776549356,,True,0.1431630870670416,0.5833333333333334,0.044941311107635475,0.8988262221527095,,True
B2,24.0,3,68.60000000000026,15,0.6,0.100000000000108,12,0.28408788336161034,0.75,0.09034355652049036,1.8068711304098073,,True,0.17158788336161676,0.75,0.05434121965698535,1.086824393139707,,True
