method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor
baseline,24.0,7,100.19999999999858,13,1.5,3.4999999999997016,1.3999999999991815,1.448664725001948,False,True,1.5210979612520454,0.1800488982807016,21.0,1.8659179924746945,0.5499999999978371,1.852401400181322,20.0,0.5819490630309088,1.9,0.5861954257359514,20.0,11.723908514719028,1.9,0,False,2,-1.0,False,True,0.9820621013024708,True,False,False
baseline,24.0,7,103.69999999999828,15,0.6,0.30000000000011084,3.4999999999997016,1.2618192891153146,True,False,1.3282308306476995,0.1319497379846494,20.0,2.2967149330333285,0.2999999999979508,2.2967149330333285,19.0,0.7595097643165767,1.894736842105263,0.7595097643165767,19.0,15.190195286331534,1.894736842105263,2,False,3,-1.0,True,False,1.212155103545368,False,True,False
baseline,24.0,7,103.9999999999984,24,0.6,0.2000000000008697,0.30000000000011084,2.175835199715785,True,False,2.2967149330333285,0.3206968591045459,19.0,2.295897163334275,0.04999999999785132,2.16327159156502,18.0,0.7551242377533516,1.8888888888888888,0.7592393328135372,19.0,15.184786656270743,1.894736842105263,2,False,2,0.0,True,False,1.2117235028708675,False,True,False
baseline,24.0,7,104.79999999999924,18,0.6,0.5999999999993975,0.5999999999999801,2.047935324419131,True,False,2.1617095091090825,0.3948084541987878,19.0,2.145655322450656,0.049999999996956035,1.948887539478444,18.0,0.6802900862997965,1.8888888888888888,0.709555262962823,19.0,14.19110525925646,1.894736842105263,3,False,2,0.0,True,False,1.1324291979600685,False,True,False
baseline,24.0,7,105.49999999999817,25,0.7000000000005286,0.7000000000005286,0.09999999999952536,1.5340836512231675,False,False,1.6193105207355658,0.2660736092130777,19.0,2.472970896142591,0.2999999999979508,2.472970896142591,18.0,0.863229688873659,1.8888888888888888,0.863229688873659,18.0,17.26459377747318,1.8888888888888888,2,False,2,-1.0,False,False,1.3092198861931363,False,True,False
baseline,24.0,7,110.79999999999832,16,0.899999999999963,0.899999999999963,2.5999999999997385,1.2640664514017805,False,False,1.3305962646334533,0.1644586967769596,20.0,1.8406763772619383,0.29999999999752447,1.8406763772619383,19.0,0.6087005667834084,1.894736842105263,0.6087005667834084,19.0,12.174011335668169,1.894736842105263,0,False,2,-1.0,False,True,0.9714680879993564,False,False,True
baseline,24.0,7,112.09999999999827,14,0.7000000000009692,0.7000000000009692,0.09999999999988063,1.2697195880419327,False,False,1.3332055674440295,0.2111989696686793,21.0,1.7402347077523042,0.4499999999974875,1.731884325960407,20.0,0.5440875075304525,1.9,0.546710857339662,20.0,10.93421714679324,1.9,2,False,2,-1.0,False,False,0.9159130040801601,False,False,True
baseline,24.0,7,116.49999999999902,18,1.5,2.299999999999301,3.0000000000008527,1.162445789827187,False,True,1.217800351247529,0.1190199680008144,22.0,1.9922524313074776,0.3999999999964814,1.991228679721228,21.0,0.5957742277932869,1.9047619047619047,0.5960805335516168,21.0,11.921610671032337,1.9047619047619047,0,False,2,-1.0,False,True,1.0459325264364259,False,True,False
baseline,24.0,7,130.99999999999758,19,0.9999999999994316,0.9999999999994316,6.499999999998565,1.0277625178391123,False,False,1.0724478447016823,0.0579451534163773,24.0,1.7329312220167126,0.29999999999802185,1.7327209055250163,23.0,0.47334811021903,1.9130434782608696,0.4734055648925293,23.0,9.468111297850585,1.9130434782608696,0,False,2,-1.0,False,True,0.9058504115087361,False,False,True
baseline,24.0,7,131.99999999999702,6,1.5,5.799999999999784,0.9999999999994316,1.545821571308705,False,True,1.6160861881863733,0.1372043924574217,23.0,1.930561532447982,0.2499999999988063,1.930561532447982,22.0,0.5513670843310576,1.9090909090909092,0.5513670843310576,22.0,11.027341686621153,1.9090909090909092,1,False,2,-1.0,False,False,1.0112465169965619,True,False,False
baseline,24.0,7,137.7999999999968,2,1.2000000000007844,1.2000000000007844,5.799999999999784,1.0935893019737208,False,False,1.1456649830200885,0.0668745870409068,22.0,2.0216166455765787,0.25000000000034106,2.0216166455765787,21.0,0.604866285916021,1.9047619047619047,0.604866285916021,21.0,12.09732571832042,1.9047619047619047,0,False,2,-1.0,False,True,1.0613487389277039,False,True,False
baseline,24.0,7,140.79999999999615,17,1.4000000000000625,1.4000000000000625,0.7999999999991303,1.33576647357033,False,False,1.3964831314598904,0.1983729425645919,23.0,1.5045592006240036,0.45000000000172236,1.498462795191565,22.0,0.4279599735501316,1.9090909090909092,0.4297011028701183,22.0,8.594022057402366,1.9090909090909092,1,False,2,-1.0,False,False,0.7881024384220972,False,False,True
baseline,24.0,7,142.1999999999962,23,1.5,2.00000000000108,1.4000000000000625,1.2770711528744783,False,True,1.33788406491612,0.1295291240257967,22.0,2.078203355427384,0.3500000000019554,2.072678438421167,21.0,0.6201439386093242,1.9047619047619047,0.6217969899120313,21.0,12.435939798240625,1.9047619047619047,0,False,2,-1.0,False,True,1.0910567615993767,False,True,False
baseline,24.0,7,144.1999999999973,19,1.5,1.5999999999995111,2.00000000000108,1.5514021334413326,False,True,1.6289722401133993,0.1691616015749115,21.0,1.8039965011199548,0.2500000000013074,1.8039965011199548,20.0,0.5667422155020141,1.9,0.5667422155020141,20.0,11.334844310040282,1.9,0,False,2,-1.0,False,True,0.9494718426947131,False,False,True
baseline,24.0,7,146.09999999999587,8,1.5,2.700000000000273,0.29999999999907345,1.3842680451886489,False,True,1.4534814474480813,0.2050699573744648,21.0,1.7345881032811108,0.3000000000031662,1.7339705546691055,20.0,0.544742915608948,1.9,0.5449369242272191,20.0,10.898738484544381,1.9,1,False,2,-1.0,False,False,0.9129411069900584,False,False,True
baseline,24.0,7,150.1999999999962,13,1.5,2.00000000000108,1.4000000000000625,1.162475943119258,False,True,1.220599740275221,0.1339752493023424,21.0,2.00477196342212,0.30000000000376303,,,,,0.5998263688009255,21.0,11.996527376018511,1.9047619047619047,0,False,2,0.0,True,True,1.052505280796613,False,True,False
baseline,24.0,7,153.2999999999974,18,0.7999999999984766,0.7999999999984766,1.100000000000108,1.3549402891190054,False,False,1.4194612552675296,0.1902941635286608,22.0,1.585020090524209,0.2500000000032969,1.585020090524209,21.0,0.4742369021126746,1.9047619047619047,0.4742369021126746,21.0,9.484738042253491,1.9047619047619047,0,False,2,-1.0,False,True,0.8321355475252097,False,False,True
baseline,48.0,0,21.200000000000053,10,1.5,1.8999999999999382,2.900000000000073,1.382020913229804,False,True,1.458799852853682,0.1819294057320055,19.0,1.8647300468575263,0.20000000000011653,1.8647300468575263,18.0,0.6509135795706396,1.8888888888888888,0.6509135795706396,18.0,13.018271591412791,1.8888888888888888,0,False,2,-1.0,False,True,0.9872100248069258,True,False,False
baseline,48.0,0,23.800000000000097,19,1.3999999999998742,1.3999999999998742,0.5000000000001066,1.2974846129299638,False,False,1.3657732767683828,0.3059296786811444,20.0,2.006243805942125,0.25000000000011013,,,,,0.6302800802057806,20.0,12.605601604115613,1.9,3,False,2,0.0,True,False,1.0559177926011185,False,True,False
baseline,48.0,0,25.40000000000012,18,0.6,0.2999999999999723,0.2000000000001485,1.6215702681584063,True,False,1.7026487815663267,0.2923751615311415,21.0,2.6415077872371278,0.450000000000113,2.6078557987176314,20.0,0.8192820618872854,1.9,0.7903372817889895,21.0,15.80674563577979,1.9047619047619047,3,False,2,0.0,True,False,1.3867915882994921,False,True,False
baseline,48.0,0,25.70000000000009,12,0.6,0.09999999999989129,0.2999999999999723,2.4616975214772645,True,False,2.591260548923436,0.4327564948839424,20.0,2.6415077872371278,0.1500000000001407,,,,,0.7903372817889895,21.0,15.80674563577979,1.9047619047619047,3,False,2,1.0,True,False,1.3867915882994921,False,True,False
